Date,Estimated Weight
2025-04-03,5.88
2025-04-04,5.889
2025-04-05,5.898
2025-04-06,5.907
2025-04-07,5.916
2025-04-08,5.925
2025-04-09,5.934
2025-04-10,5.943
2025-04-11,5.952
2025-04-12,5.961
2025-04-13,5.97
2025-04-14,5.98
2025-04-15,5.989
2025-04-16,5.998
2025-04-17,6.007
2025-04-18,6.016
2025-04-19,6.025
2025-04-20,6.034
2025-04-21,6.043
2025-04-22,6.052
2025-04-23,6.061
2025-04-24,6.07
2025-04-24,6.07
2025-04-25,6.08
2025-04-26,6.09
2025-04-27,6.1
2025-04-28,6.11
2025-04-29,6.12
2025-04-30,6.13
2025-05-01,6.14
2025-05-02,6.15
2025-05-03,6.16
2025-05-04,6.17
2025-05-05,6.18
2025-05-06,6.19
2025-05-07,6.2
2025-05-08,6.21
2025-05-09,6.22
2025-05-10,6.23
2025-05-11,6.24
2025-05-12,6.25
2025-05-13,6.26
2025-05-14,6.27
2025-05-15,6.28
2025-05-16,6.29
2025-05-17,6.3
2025-05-18,6.31
2025-05-19,6.32
2025-05-20,6.33
2025-05-21,6.34
2025-05-22,6.35
2025-05-23,6.36
2025-05-24,6.37
2025-05-25,6.38
2025-05-26,6.39
2025-05-27,6.4
2025-05-28,6.41
2025-05-28,6.41
2025-05-29,6.422
2025-05-30,6.433
2025-05-31,6.445
2025-06-01,6.457
2025-06-02,6.469
2025-06-03,6.48
2025-06-04,6.492
2025-06-05,6.504
2025-06-06,6.516
2025-06-07,6.527
2025-06-08,6.539
2025-06-09,6.551
2025-06-10,6.562
2025-06-11,6.574
2025-06-12,6.586
2025-06-13,6.598
2025-06-14,6.609
2025-06-15,6.621
2025-06-16,6.633
2025-06-17,6.644
2025-06-18,6.656
2025-06-19,6.668
2025-06-20,6.68
2025-06-21,6.691
2025-06-22,6.703
2025-06-23,6.715
2025-06-24,6.727
2025-06-25,6.738
2025-06-26,6.75
2025-06-26,6.75
2025-06-27,6.757
2025-06-28,6.764
2025-06-29,6.771
2025-06-30,6.779
2025-07-01,6.786
2025-07-02,6.793
2025-07-03,6.8
